node_id,center_lon,center_lat,tile_center_lon,tile_center_lat,tile_distance_m,assigned_by,pop_density,raw_tile_pop
"(35126490, 1052226102, 0)",15.477813981386536,47.034201032649875,15.4777777779349783,47.0349999999804425,88.88347081380627,nearest|too_far,0.0,4.645459175109863
"(20824610, 1240703420, 0)",15.480551582056778,47.03470214013402,15.4794444446016453,47.034444444424885,88.66314375565362,nearest|too_far,0.0,4.645459175109863
"(1240703420, 20824610, 0)",15.480551582056776,47.034702140134016,15.4794444446016453,47.034444444424885,88.66314375542505,nearest|too_far,0.0,4.645459175109863
"(1240703420, 5041762245, 0)",15.481613723352993,47.03521003477486,15.4816666668238696,47.034444444424885,85.22426513036507,nearest|too_far,0.0,4.645459175109863
"(364380366, 20921176, 0)",15.477588747712709,47.03324630893656,15.4777777779349783,47.0322222222026625,114.77089824335503,nearest|too_far,0.0,4.645459175109863
"(20832687, 1027914394, 0)",15.426108438335877,47.03098369347344,15.4255555557127124,47.0313888888693299,61.52962844945516,nearest,4.645459175109863,4.645459175109863
"(20832644, 1984063881, 0)",15.421561608948858,47.032148421960514,15.4213888890460424,47.0327777777582199,71.19492986627984,nearest,4.645459175109863,4.645459175109863
"(205294016, 1362923206, 0)",15.411300527119428,47.035325404198666,15.4116666668238125,47.035833333313775,62.92713067887113,nearest,4.645459175109863,4.645459175109863
"(20929470, 20929468, 0)",15.480904687082209,47.02935801651102,15.4816666668238696,47.0286111110915499,101.15869543459266,nearest|too_far,0.0,4.645459175109863
"(1052226043, 20929475, 0)",15.476672604275771,47.03263296594219,15.4777777779349783,47.0322222222026625,95.40269879147324,nearest|too_far,0.0,4.645459175109863
"(1052226043, 20921176, 0)",15.476920135189854,47.032769830758646,15.4777777779349783,47.0322222222026625,89.06566478395786,nearest|too_far,0.0,4.645459175109863
"(20921176, 20929475, 0)",15.476768157503948,47.03284483458534,15.4777777779349783,47.0322222222026625,103.18883034100257,nearest|too_far,0.0,4.645459175109863
"(20929475, 20921176, 0)",15.476768157503948,47.03284483458534,15.4777777779349783,47.0322222222026625,103.18883034100257,nearest|too_far,0.0,4.645459175109863
"(20929475, 35129132, 0)",15.476084547202067,47.03251845594113,15.4777777779349783,47.0322222222026625,132.48803647570742,nearest|too_far,0.0,4.645459175109863
"(20929475, 20929474, 0)",15.476541551234359,47.03256335940697,15.4777777779349783,47.0322222222026625,101.07967773390158,nearest|too_far,0.0,4.645459175109863
"(20921176, 364380366, 0)",15.477588747712709,47.03324630893656,15.4777777779349783,47.0322222222026625,114.77089824335503,nearest|too_far,0.0,4.645459175109863
"(20921204, 20921210, 0)",15.471073468105375,47.038618394354515,15.4702777779349709,47.038611111091555,60.30278585175849,nearest,4.645459175109863,4.645459175109863
"(20929468, 268656638, 0)",15.482861700000003,47.02690955,15.4819444446016483,47.0274999999804351,95.62546124080694,nearest|too_far,0.0,4.645459175109863
"(20929468, 21099885, 0)",15.482697681590532,47.0262812742276,15.4822222223794252,47.0255555555359948,88.3780547657173,nearest|too_far,0.0,4.645459175109863
"(35129132, 20929474, 0)",15.47614457258892,47.032418690581224,15.4777777779349783,47.0322222222026625,125.69188170328218,nearest|too_far,0.0,4.645459175109863
"(35129132, 20929475, 0)",15.476084547202067,47.03251845594113,15.4777777779349783,47.0322222222026625,132.48803647570742,nearest|too_far,0.0,4.645459175109863
"(35129132, 4071322998, 0)",15.472083765405483,47.03132492247552,15.4722222223794184,47.0302777777582151,116.90909570062348,nearest|too_far,0.0,4.645459175109863
"(20929478, 21140896, 0)",15.459688489600628,47.06889653209987,15.4597222223794084,47.0694444444249172,60.978613230691174,nearest,2.3227295875549316,4.645459175109863
"(21140896, 20929478, 0)",15.459688489600627,47.068896532099856,15.4597222223794084,47.0694444444249172,60.97861323281127,nearest,2.3227295875549316,4.645459175109863
"(20929485, 21261046, 0)",15.446318614889652,47.0721632224324,15.4475000001571754,47.0722222222026971,89.70914856344794,nearest|too_far,0.0,4.645459175109863
"(21261046, 20929485, 0)",15.446318614889654,47.072163222432415,15.4475000001571754,47.0722222222026971,89.70914856334446,nearest|too_far,0.0,4.645459175109863
"(21099611, 21261046, 0)",15.44608632356447,47.072906805784136,15.4472222223793985,47.0736111110915871,116.3319620982738,nearest|too_far,0.0,4.645459175109863
"(20929491, 991630242, 0)",15.442579472993602,47.07722797313796,15.4419444446016154,47.0763888888693671,104.96522358584396,nearest|too_far,0.0,4.645459175109863
"(991630242, 20929491, 0)",15.442579472993602,47.07722797313796,15.4419444446016154,47.0763888888693671,104.96522358584396,nearest|too_far,0.0,4.645459175109863
"(82687995, 1244504045, 0)",15.40901448526442,47.10799452891017,15.4083333334904768,47.1088888888693944,112.01504224244657,nearest|too_far,0.0,4.645459175109863
"(20929515, 327689715, 0)",15.39522089239068,47.10916109199434,15.3950000001571325,47.1099999999805021,94.76837668610156,nearest|too_far,0.0,4.645459175109863
"(327689715, 20929515, 0)",15.395220892390679,47.10916109199432,15.3950000001571325,47.1099999999805021,94.76837668819026,nearest|too_far,0.0,4.645459175109863
"(20959645, 20959652, 0)",15.426525288796034,47.030329798885596,15.4263888890460485,47.0297222222026647,68.34583659847861,nearest,0.46454591751098634,4.645459175109863
"(20959678, 1304229493, 0)",15.413136100000001,47.033063150000004,15.4136111112682599,47.0324999999804447,72.23026304219916,nearest,1.5484863917032878,4.645459175109863
"(20959678, 20832696, 0)",15.413041333580294,47.03325208149827,15.4130555557127025,47.0338888888693347,70.81795189461832,nearest,2.3227295875549316,4.645459175109863
"(21994014, 20959652, 0)",15.426783645674194,47.03053509740069,15.4269444446016024,47.0311111110915547,65.19894609277348,nearest,0.7742431958516439,4.645459175109863
"(1244504045, 82687995, 0)",15.409014485264422,47.107994528910176,15.4083333334904768,47.1088888888693944,112.01504224192936,nearest|too_far,0.0,4.645459175109863
"(268656637, 1479199335, 0)",15.484304335151128,47.02530888201429,15.483888889046094,47.0258333333137699,66.27536967599303,nearest,1.5484863917032878,4.645459175109863
"(21100088, 224112669, 0)",15.384984735959632,47.107443560952596,15.3866666668237926,47.108333333313837,161.21963277715753,nearest|too_far,0.0,4.645459175109863
"(224112669, 224112678, 0)",15.3751903273651,47.11360047209682,15.3741666668237826,47.1122222222027318,171.71986540167632,nearest|too_far,0.0,4.645459175109863
"(224112669, 21099776, 0)",15.376101666544471,47.1119604455347,15.375000000157117,47.1113888888693921,104.83159917599771,nearest|too_far,0.0,4.645459175109863
"(327751928, 327752074, 0)",15.440141648314363,47.12023005923714,15.4400000001571698,47.1208333333138469,67.93180177367415,nearest,2.3227295875549316,4.645459175109863
"(21141023, 243190971, 0)",15.375029722675105,47.112471445387875,15.3741666668237826,47.1122222222027318,70.94798529695004,nearest,1.5484863917032878,4.645459175109863
"(243190971, 21140939, 0)",15.38433452370156,47.107317359896015,15.3866666668237926,47.108333333313837,209.5586213473607,nearest|too_far,0.0,4.645459175109863
"(21141023, 26017175, 0)",15.382289917642975,47.06542068116716,15.383333333490457,47.0652777777582472,80.61199369053254,nearest|too_far,0.0,4.645459175109863
"(21301819, 317250905, 0)",15.507270024703802,47.12292987193935,15.5072222223794469,47.1222222222027369,78.77013646926434,nearest|too_far,0.0,4.645459175109863
"(317250905, 21301819, 0)",15.507270024703804,47.12292987193935,15.5072222223794469,47.1222222222027369,78.77013646926434,nearest|too_far,0.0,4.645459175109863
"(327750931, 1482167845, 0)",15.494942887295888,47.080977437341126,15.4944444446016583,47.0805555555360371,60.2089631603069,nearest,2.3227295875549316,4.645459175109863
"(82687951, 327555700, 0)",15.476645545267008,47.08167695111216,15.4775000001571996,47.0822222222027023,88.66784019240862,nearest|too_far,0.0,4.645459175109863
"(21424406, 2023870664, 0)",15.44735348260843,47.10748343788318,15.448055555712731,47.1088888888693944,165.06458086173546,nearest|too_far,0.0,4.645459175109863
"(21424386, 2051173812, 0)",15.45855016958747,47.10699080962347,15.4583333334905184,47.1080555555360547,119.5262654526138,nearest|too_far,0.0,4.645459175109863
"(2051173812, 21424386, 0)",15.458550169587461,47.106990809623476,15.4583333334905184,47.1080555555360547,119.52626545181403,nearest|too_far,0.0,4.645459175109863
"(2023870664, 21424406, 0)",15.447353482608419,47.10748343788316,15.448055555712731,47.1088888888693944,165.06458086405445,nearest|too_far,0.0,4.645459175109863
"(21486675, 20959678, 0)",15.412892653673424,47.032774009443976,15.4136111112682599,47.0324999999804447,62.39561886836059,nearest,1.5484863917032878,4.645459175109863
"(304628646, 25704333, 0)",15.495484618109515,47.04089245312049,15.4947222223794352,47.0422222222026747,158.74866363210805,nearest|too_far,0.0,4.645459175109863
"(2454068616, 10978984241, 0)",15.412960601960055,47.06408933730946,15.4130555557127025,47.0647222222026897,70.74014783580836,nearest,2.3227295875549316,4.645459175109863
"(21643219, 6244902831, 0)",15.411864582964158,47.06148173494246,15.4127777779349255,47.0616666666471346,72.16392098126539,nearest,2.3227295875549316,4.645459175109863
"(6244902831, 21643219, 0)",15.411864582964158,47.06148173494246,15.4127777779349255,47.0616666666471346,72.16392098126539,nearest,2.3227295875549316,4.645459175109863
"(25704329, 25704333, 0)",15.493808566764564,47.04171671715928,15.4941666668238796,47.0422222222026747,62.41659980116059,nearest,2.3227295875549316,4.645459175109863
"(25704333, 304628646, 0)",15.495484618109511,47.040892453120485,15.4947222223794352,47.0422222222026747,158.74866363267918,nearest|too_far,0.0,4.645459175109863
"(25704333, 25704329, 0)",15.493808566764564,47.04171671715928,15.4941666668238796,47.0422222222026747,62.41659980116059,nearest,2.3227295875549316,4.645459175109863
"(26755050, 36136353, 0)",15.440410632338047,47.08726164554099,15.4405555557127254,47.0866666666471545,67.06233589798111,nearest,2.3227295875549316,4.645459175109863
"(36136353, 26755050, 0)",15.440410632338045,47.087261645540984,15.4405555557127254,47.0866666666471545,67.06233589662493,nearest,2.3227295875549316,4.645459175109863
"(26756648, 21486675, 0)",15.412610600447145,47.03218714606139,15.4119444446015912,47.0324999999804447,61.31185835442369,nearest,2.3227295875549316,4.645459175109863
"(5122478770, 2494968795, 0)",15.376311711388231,47.058279261211,15.3755555557126726,47.0580555555360149,62.44845470438994,nearest,2.3227295875549316,4.645459175109863
"(5122478770, 272502361, 0)",15.381896445586204,47.05930073499195,15.381944444601567,47.0605555555360198,139.5770431498074,nearest|too_far,0.0,4.645459175109863
"(271777260, 606954232, 0)",15.378202130487848,47.07420545873936,15.3786111112682313,47.0730555555360297,131.5611123583211,nearest|too_far,0.0,1.2247639894485474
"(271782264, 8660677289, 0)",15.407376838112771,47.059842188221104,15.4075000001571425,47.0591666666471298,75.69174020959132,nearest|too_far,0.0,4.645459175109863
"(28887354, 12463679640, 0)",15.377289313362718,47.1147300014551,15.3794444446015639,47.1122222222027318,323.0414890876171,nearest|too_far,0.0,4.645459175109863
"(12463679640, 28887354, 0)",15.377289313362722,47.11473000145512,15.3794444446015639,47.1122222222027318,323.04148908993784,nearest|too_far,0.0,4.645459175109863
"(327684776, 327684785, 0)",15.38895321289992,47.11020553539727,15.3902777779349069,47.1108333333138347,122.15247484965093,nearest|too_far,0.0,4.645459175109863
"(327822743, 327684785, 0)",15.39051062124509,47.109515735869486,15.3905555557126839,47.1088888888693944,69.78511151309935,nearest,2.3227295875549316,4.645459175109863
"(269032860, 1493514663, 0)",15.473638618935315,47.01629116489556,15.4736111112683083,47.0169444444248725,72.6712968390476,nearest,2.3227295875549316,4.645459175109863
"(269032860, 33028761, 0)",15.473467960117619,47.01573698995329,15.4730555557127509,47.0149999999804251,87.71126078890178,nearest|too_far,0.0,1.7249579429626465
"(33028761, 269032860, 0)",15.473467960117622,47.0157369899533,15.4730555557127509,47.0149999999804251,87.7112607896486,nearest|too_far,0.0,1.7249579429626465
"(35127834, 35767520, 0)",15.480509849379802,47.034614648902355,15.4794444446016453,47.034444444424885,82.93091916713634,nearest|too_far,0.0,4.645459175109863
"(35767520, 35127834, 0)",15.480509849379802,47.034614648902355,15.4794444446016453,47.034444444424885,82.93091916713634,nearest|too_far,0.0,4.645459175109863
"(5041762249, 1240703420, 0)",15.481356009138533,47.03530803371252,15.4816666668238696,47.034444444424885,98.87073224279904,nearest|too_far,0.0,4.645459175109863
"(4071322998, 35129132, 0)",15.472083765405483,47.031324922475534,15.4722222223794184,47.0302777777582151,116.90909570203243,nearest|too_far,0.0,4.645459175109863
"(35292185, 270190853, 0)",15.386320250297949,47.04331466561154,15.3866666668237926,47.041388888869335,215.7394854090515,nearest|too_far,0.0,4.645459175109863
"(270190853, 249317896, 0)",15.387261663939656,47.037987096807264,15.3880555557126826,47.0380555555360047,60.641411594924136,nearest,2.3227295875549316,4.645459175109863
"(270190853, 35292185, 0)",15.386320250297944,47.04331466561155,15.3866666668237926,47.041388888869335,215.73948540981223,nearest|too_far,0.0,4.645459175109863
"(35292603, 35292616, 0)",15.393719332241297,47.0280357484441,15.39277777793491,47.0280555555359925,71.39903153611486,nearest,2.3227295875549316,4.645459175109863
"(35292616, 35292603, 0)",15.393719332241302,47.02803574844409,15.39277777793491,47.0280555555359925,71.3990315366186,nearest,2.3227295875549316,4.645459175109863
"(35292941, 35958265, 0)",15.403441693604654,47.02496572644172,15.4033333334904725,47.0255555555359948,66.09831027364251,nearest,2.3227295875549316,4.645459175109863
"(35958265, 35292941, 0)",15.403441693604654,47.02496572644173,15.4033333334904725,47.0255555555359948,66.09831027294067,nearest,2.3227295875549316,4.645459175109863
"(80173071, 35293126, 0)",15.500288901002268,47.06588903018409,15.4997222223794395,47.0666666666471372,96.53551397249853,nearest|too_far,0.0,4.645459175109863
"(35293126, 80173071, 0)",15.500288901002268,47.06588903018408,15.4997222223794395,47.0666666666471372,96.53551397313211,nearest|too_far,0.0,4.645459175109863
"(35466444, 35466449, 0)",15.447316041112517,47.01841815666219,15.4463888890460623,47.0180555555359874,81.02978118818517,nearest|too_far,0.0,4.645459175109863
"(35466449, 35466444, 0)",15.447316041112517,47.01841815666219,15.4463888890460623,47.0180555555359874,81.02978118818517,nearest|too_far,0.0,4.645459175109863
"(7454523205, 35468191, 0)",15.443920699844787,47.02395235170764,15.4447222223793954,47.0236111110915473,71.6315635573279,nearest,4.645459175109863,4.645459175109863
"(35773918, 11450676882, 0)",15.473870396917514,47.02644230501833,15.4741666668238622,47.0269444444248848,60.18200339565475,nearest,2.3227295875549316,4.645459175109863
"(11450676882, 35773918, 0)",15.473870396917516,47.026442305018335,15.4741666668238622,47.0269444444248848,60.18200339490856,nearest,2.3227295875549316,4.645459175109863
"(327555700, 82687951, 0)",15.476645545267003,47.081676951112144,15.4775000001571996,47.0822222222027023,88.66784019372741,nearest|too_far,0.0,4.645459175109863
"(89459296, 243190971, 0)",15.374484000375833,47.11301997964936,15.3741666668237826,47.1122222222027318,91.8995998047251,nearest|too_far,0.0,4.645459175109863
"(195878366, 195878370, 0)",15.441416143699024,47.12174508378854,15.4402777779349485,47.1211111110916221,111.30176268042074,nearest|too_far,0.0,4.645459175109863
"(195878370, 615543089, 0)",15.440902799241371,47.12359911033987,15.4400000001571698,47.1238888888694021,75.52350790206896,nearest|too_far,0.0,4.645459175109863
"(195878370, 195878366, 0)",15.441416143699023,47.12174508378853,15.4402777779349485,47.1211111110916221,111.30176267997277,nearest|too_far,0.0,4.645459175109863
"(615543089, 3821400571, 0)",15.455384253713456,47.123536863401306,15.4555555557127384,47.1247222222027347,132.44155004191538,nearest|too_far,0.0,4.645459175109863
"(615543089, 195878370, 0)",15.440902799241371,47.12359911033987,15.4400000001571698,47.1238888888694021,75.52350790206896,nearest|too_far,0.0,4.645459175109863
"(224112678, 89459296, 0)",15.372893944494942,47.11579413269066,15.3725000001571139,47.1163888888693947,72.5417599417784,nearest,2.3227295875549316,4.645459175109863
"(245887088, 289402088, 0)",15.376815684371168,47.10674025042181,15.3769444446015626,47.1074999999805044,85.04048271097525,nearest|too_far,0.0,4.645459175109863
"(289402088, 245887088, 0)",15.376815684371165,47.1067402504218,15.3769444446015626,47.1074999999805044,85.04048271170551,nearest|too_far,0.0,4.645459175109863
"(249317896, 270190853, 0)",15.387261663939652,47.03798709680725,15.3880555557126826,47.0380555555360047,60.64141159566876,nearest,2.3227295875549316,4.645459175109863
